transaction_id,opportunity_name,product_id,store_id,quantity,selling_price,discount_amount,transaction_timestamp,transaction_date,payment_mode,sales_channel,name,stage_name,owner_id,amount,customer_id
TXN000028,Fresh Mobile Order 31,P0009,S004,4,88073,422,2026-03-10 23:20:50,2026-03-10,Cash,Online,Fresh Mobile Order 31,Needs Analysis,005a3000mvJbWxwAAF,340930.0000000000000000000000,
TXN000029,Smart Mobile Order 80,P0007,S005,5,106542,14426,2026-01-11 15:41:27,2026-01-11,Net Banking,Online,Smart Mobile Order 80,Qualification,005a3000mvJbWxwAAF,205867.0000000000000000000000,
TXN000030,Metro Lifestyle Order 55,P0019,S001,3,89323,7176,2026-01-03 20:15:03,2026-01-03,Net Banking,Store,Metro Lifestyle Order 55,Closed Lost,005a3000mvJbWxwAAF,68517.0000000000000000000000,
TXN000031,Value Groceries Order 25,P0011,S004,1,4317,90,2026-01-08 01:44:48,2026-01-08,Cash,Store,Value Groceries Order 25,Negotiation/Review,005a3000mvJbWxwAAF,178431.0000000000000000000000,
TXN000032,Royal Mobile Order 23,P0007,S004,3,55024,2801,2026-03-15 07:32:55,2026-03-15,Card,Online,Royal Mobile Order 23,Needs Analysis,005a3000mvJbWxwAAF,431163.0000000000000000000000,
TXN000033,Elite Mobile Order 14,P0017,S005,3,45774,1155,2026-01-22 00:38:28,2026-01-22,UPI,Store,Elite Mobile Order 14,Negotiation/Review,005a3000mvJbWxwAAF,199191.0000000000000000000000,
TXN000034,Urban Furniture Order 7,P0014,S005,5,9335,686,2026-03-13 14:45:56,2026-03-13,Cash,Online,Urban Furniture Order 7,Closed Won,005a3000mvJbWxwAAF,103142.0000000000000000000000,
TXN000035,Urban Appliances Order 37,P0002,S004,3,22816,2303,2026-03-28 09:40:47,2026-03-28,Card,Online,Urban Appliances Order 37,Needs Analysis,005a3000mvJbWxwAAF,393869.0000000000000000000000,
TXN000036,Modern Lifestyle Order 18,P0015,S001,2,74553,785,2026-01-21 14:03:33,2026-01-21,Net Banking,Store,Modern Lifestyle Order 18,Closed Lost,005a3000mvJbWxwAAF,445548.0000000000000000000000,
TXN000037,Urban Appliances Order 37,P0011,S001,2,47075,2218,2026-02-05 06:51:29,2026-02-05,Net Banking,Store,Urban Appliances Order 37,Needs Analysis,005a3000mvJbWxwAAF,393869.0000000000000000000000,
TXN000038,Global Fashion Order 56,P0004,S001,3,61277,6430,2026-03-17 14:30:50,2026-03-17,UPI,Store,Global Fashion Order 56,Qualification,005a3000mvJbWxwAAF,416818.0000000000000000000000,
TXN000039,Quick Groceries Order 76,P0014,S001,3,103598,10423,2026-03-24 11:41:36,2026-03-24,Card,Store,Quick Groceries Order 76,Closed Lost,005a3000mvJbWxwAAF,150600.0000000000000000000000,
TXN000040,Elite Lifestyle Order 99,P0015,S002,2,71654,739,2026-03-15 10:23:03,2026-03-15,Net Banking,Online,Elite Lifestyle Order 99,Prospecting,005a3000mvJbWxwAAF,186215.0000000000000000000000,
TXN000041,Fresh Lifestyle Order 92,P0002,S002,3,101716,13571,2026-03-13 13:46:12,2026-03-13,Net Banking,Online,Fresh Lifestyle Order 92,Needs Analysis,005a3000mvJbWxwAAF,147370.0000000000000000000000,
TXN000042,Elite Furniture Order 54,P0013,S001,5,79477,9029,2026-01-21 13:09:58,2026-01-21,Net Banking,Online,Elite Furniture Order 54,Negotiation/Review,005a3000mvJbWxwAAF,91153.0000000000000000000000,
TXN000043,Royal Lifestyle Order 84,P0010,S003,2,76838,11367,2026-01-11 19:16:27,2026-01-11,UPI,Online,Royal Lifestyle Order 84,Prospecting,005a3000mvJbWxwAAF,126309.0000000000000000000000,
TXN000044,Smart Mobile Order 80,P0004,S005,2,14692,496,2026-01-07 19:31:57,2026-01-07,Card,Online,Smart Mobile Order 80,Qualification,005a3000mvJbWxwAAF,205867.0000000000000000000000,
TXN000045,Modern Lifestyle Order 58,P0018,S003,1,99611,13503,2026-02-11 14:11:00,2026-02-11,Cash,Online,Modern Lifestyle Order 58,Prospecting,005a3000mvJbWxwAAF,113652.0000000000000000000000,
TXN000046,Global Mobile Order 69,P0017,S005,2,97940,6035,2026-02-06 01:58:35,2026-02-06,UPI,Store,Global Mobile Order 69,Negotiation/Review,005a3000mvJbWxwAAF,252452.0000000000000000000000,
TXN000047,Value Accessories Order 12,P0016,S002,3,108478,15736,2026-01-09 04:36:05,2026-01-09,UPI,Online,Value Accessories Order 12,Prospecting,005a3000mvJbWxwAAF,416370.0000000000000000000000,
TXN000048,Fresh Furniture Order 53,P0016,S003,2,42758,418,2026-03-25 09:43:19,2026-03-25,Cash,Store,Fresh Furniture Order 53,Proposal/Price Quote,005a3000mvJbWxwAAF,371222.0000000000000000000000,
TXN000049,Quick Electronics Order 27,P0018,S004,4,58336,4054,2026-01-07 18:18:20,2026-01-07,UPI,Store,Quick Electronics Order 27,Needs Analysis,005a3000mvJbWxwAAF,295483.0000000000000000000000,
TXN000050,Smart Mobile Order 64,P0002,S003,3,20896,1819,2026-02-04 16:45:25,2026-02-04,Cash,Store,Smart Mobile Order 64,Needs Analysis,005a3000mvJbWxwAAF,248547.0000000000000000000000,
TXN000051,Fresh Electronics Order 65,P0015,S001,2,30974,4640,2026-02-12 03:07:41,2026-02-12,Net Banking,Store,Fresh Electronics Order 65,Prospecting,005a3000mvJbWxwAAF,460518.0000000000000000000000,
TXN000052,Mega Mobile Order 26,P0005,S003,2,57121,6415,2026-03-30 08:45:37,2026-03-30,Net Banking,Store,Mega Mobile Order 26,Needs Analysis,005a3000mvJbWxwAAF,496147.0000000000000000000000,
TXN000053,Royal Furniture Order 57,P0001,S004,4,102605,7427,2026-03-12 17:06:45,2026-03-12,Cash,Store,Royal Furniture Order 57,Proposal/Price Quote,005a3000mvJbWxwAAF,382370.0000000000000000000000,
TXN000054,Mega Appliances Order 89,P0009,S003,4,79214,5490,2026-02-22 00:36:45,2026-02-22,Net Banking,Online,Mega Appliances Order 89,Proposal/Price Quote,005a3000mvJbWxwAAF,457303.0000000000000000000000,
TXN000055,Royal Mobile Order 23,P0010,S002,2,64378,919,2026-02-25 02:32:18,2026-02-25,Card,Online,Royal Mobile Order 23,Needs Analysis,005a3000mvJbWxwAAF,431163.0000000000000000000000,
TXN000056,Smart Lifestyle Order 16,P0001,S001,1,63358,2032,2026-03-23 23:11:25,2026-03-23,Cash,Store,Smart Lifestyle Order 16,Closed Won,005a3000mvJbWxwAAF,445897.0000000000000000000000,
TXN000057,Urban Mobile Order 3,P0018,S002,1,50968,845,2026-01-16 06:49:06,2026-01-16,UPI,Online,Urban Mobile Order 3,Qualification,005a3000mvJbWxwAAF,429010.0000000000000000000000,
TXN000058,Quick Furniture Order 60,,S001,3,66399,8572,2026-04-01 07:40:51,2026-04-01,UPI,Online,Quick Furniture Order 60,Closed Lost,005a3000mvJbWxwAAF,122916.0000000000000000000000,
TXN000059,Elite Appliances Order 73,P0004,S002,2,6680,386,2026-03-28 20:36:25,2026-03-28,Cash,Online,Elite Appliances Order 73,Negotiation/Review,005a3000mvJbWxwAAF,227481.0000000000000000000000,
TXN000060,Fresh Lifestyle Order 92,P0020,S002,2,83872,10381,2026-01-20 22:09:09,2026-01-20,Card,Online,Fresh Lifestyle Order 92,Needs Analysis,005a3000mvJbWxwAAF,147370.0000000000000000000000,
TXN000061,Value Fashion Order 4,P0013,S005,1,17614,1199,2026-01-05 03:14:56,2026-01-05,Net Banking,Online,Value Fashion Order 4,Qualification,005a3000mvJbWxwAAF,153828.0000000000000000000000,
TXN000062,Metro Electronics Order 67,P0013,S001,2,86616,8503,2026-03-07 23:14:00,2026-03-07,Cash,Online,Metro Electronics Order 67,Closed Won,005a3000mvJbWxwAAF,336570.0000000000000000000000,
TXN000063,Fresh Lifestyle Order 92,P0003,S005,4,955,59,2026-03-31 02:46:33,2026-03-31,Cash,Online,Fresh Lifestyle Order 92,Needs Analysis,005a3000mvJbWxwAAF,147370.0000000000000000000000,
TXN000064,Metro Electronics Order 67,P0012,S004,1,103407,14700,2026-01-27 15:38:16,2026-01-27,Cash,Online,Metro Electronics Order 67,Closed Won,005a3000mvJbWxwAAF,336570.0000000000000000000000,
TXN000065,Royal Furniture Order 57,P0011,S002,3,108045,14348,2026-02-05 06:28:11,2026-02-05,UPI,Online,Royal Furniture Order 57,Proposal/Price Quote,005a3000mvJbWxwAAF,382370.0000000000000000000000,
TXN000066,Royal Groceries Order 100,P0011,S004,2,61244,3204,2026-02-17 09:52:14,2026-02-17,UPI,Online,Royal Groceries Order 100,Proposal/Price Quote,005a3000mvJbWxwAAF,480148.0000000000000000000000,
TXN000067,Fresh Electronics Order 65,P0001,S001,2,886,51,2026-03-27 23:36:28,2026-03-27,Card,Store,Fresh Electronics Order 65,Prospecting,005a3000mvJbWxwAAF,460518.0000000000000000000000,
TXN000068,Fresh Appliances Order 15,P0020,S002,3,85058,9668,2026-02-05 01:32:14,2026-02-05,UPI,Online,Fresh Appliances Order 15,Negotiation/Review,005a3000mvJbWxwAAF,415548.0000000000000000000000,001a3003WNDnnwyAYB
TXN000069,Quick Appliances Order 97,P0005,S005,2,87123,3196,2026-01-31 11:14:17,2026-01-31,Net Banking,Store,Quick Appliances Order 97,Negotiation/Review,005a3000mvJbWxwAAF,190243.0000000000000000000000,
TXN000070,Value Electronics Order 98,P0007,S002,4,45232,5191,2026-02-05 01:34:22,2026-02-05,UPI,Online,Value Electronics Order 98,Qualification,005a3000mvJbWxwAAF,324652.0000000000000000000000,
TXN000071,Metro Lifestyle Order 44,P0005,S003,5,22414,1731,2026-03-27 07:00:08,2026-03-27,UPI,Online,Metro Lifestyle Order 44,Prospecting,005a3000mvJbWxwAAF,249020.0000000000000000000000,
TXN000072,Fresh Accessories Order 50,P0017,S005,4,55737,3592,2026-02-03 20:27:24,2026-02-03,UPI,Store,Fresh Accessories Order 50,Needs Analysis,005a3000mvJbWxwAAF,460018.0000000000000000000000,
TXN000073,Modern Lifestyle Order 58,P0014,S005,1,113377,12519,2026-02-22 14:09:05,2026-02-22,Card,Store,Modern Lifestyle Order 58,Prospecting,005a3000mvJbWxwAAF,113652.0000000000000000000000,
TXN000074,Metro Lifestyle Order 55,P0010,S003,4,17889,173,2026-01-31 21:58:45,2026-01-31,Cash,Store,Metro Lifestyle Order 55,Closed Lost,005a3000mvJbWxwAAF,68517.0000000000000000000000,
TXN000075,Quick Electronics Order 5,P0019,S005,4,47106,5244,2026-03-25 09:19:10,2026-03-25,UPI,Store,Quick Electronics Order 5,Qualification,005a3000mvJbWxwAAF,254171.0000000000000000000000,
TXN000076,Global Appliances Order 88,P0008,S003,5,106712,9165,2026-01-11 01:36:25,2026-01-11,Cash,Online,Global Appliances Order 88,Closed Won,005a3000mvJbWxwAAF,260926.0000000000000000000000,001a3003WNGRRdEAYX
TXN000077,Mega Appliances Order 49,P0015,S002,4,78014,1347,2026-03-16 02:33:29,2026-03-16,UPI,Online,Mega Appliances Order 49,Proposal/Price Quote,005a3000mvJbWxwAAF,413798.0000000000000000000000,
TXN000078,Metro Electronics Order 43,P0008,S005,4,78436,11257,2026-02-05 21:40:14,2026-02-05,UPI,Online,Metro Electronics Order 43,Needs Analysis,005a3000mvJbWxwAAF,240260.0000000000000000000000,
TXN000079,Mega Appliances Order 49,P0007,S001,2,37956,3589,2026-01-06 13:07:33,2026-01-06,Net Banking,Store,Mega Appliances Order 49,Proposal/Price Quote,005a3000mvJbWxwAAF,413798.0000000000000000000000,
TXN000080,Elite Fashion Order 71,P0006,S002,2,20021,1180,2026-01-31 13:01:23,2026-01-31,UPI,Store,Elite Fashion Order 71,Prospecting,005a3000mvJbWxwAAF,176213.0000000000000000000000,
TXN000081,Quick Furniture Order 48,P0010,S005,1,86138,7447,2026-02-04 05:23:49,2026-02-04,Cash,Online,Quick Furniture Order 48,Prospecting,005a3000mvJbWxwAAF,155664.0000000000000000000000,
TXN000082,Smart Electronics Order 66,P0002,S005,4,79542,7556,2026-02-27 04:14:27,2026-02-27,Cash,Online,Smart Electronics Order 66,Negotiation/Review,005a3000mvJbWxwAAF,484632.0000000000000000000000,
TXN000083,Urban Lifestyle Order 46,P0016,S002,5,25916,1486,2026-02-04 09:18:01,2026-02-04,UPI,Online,Urban Lifestyle Order 46,Negotiation/Review,005a3000mvJbWxwAAF,249307.0000000000000000000000,
TXN000084,Urban Mobile Order 42,P0020,S003,1,38411,147,2026-02-16 03:44:12,2026-02-16,Card,Store,Urban Mobile Order 42,Closed Won,005a3000mvJbWxwAAF,466272.0000000000000000000000,
TXN000085,Urban Electronics Order 62,P0011,S003,2,93611,1513,2026-03-25 19:54:57,2026-03-25,UPI,Store,Urban Electronics Order 62,Proposal/Price Quote,005a3000mvJbWxwAAF,127978.0000000000000000000000,
TXN000086,Metro Mobile Order 38,P0012,S002,3,86777,1763,2026-01-01 10:08:35,2026-01-01,Card,Store,Metro Mobile Order 38,Qualification,005a3000mvJbWxwAAF,491597.0000000000000000000000,
TXN000087,Royal Electronics Order 72,P0008,S003,1,78315,10045,2026-03-02 02:31:48,2026-03-02,UPI,Online,Royal Electronics Order 72,Proposal/Price Quote,005a3000mvJbWxwAAF,427059.0000000000000000000000,
TXN000088,Modern Lifestyle Order 58,P0006,S001,5,114511,1759,2026-03-17 00:31:34,2026-03-17,UPI,Online,Modern Lifestyle Order 58,Prospecting,005a3000mvJbWxwAAF,113652.0000000000000000000000,
TXN000089,Urban Electronics Order 87,P0016,S002,3,15281,291,2026-03-30 10:15:01,2026-03-30,Net Banking,Online,Urban Electronics Order 87,Proposal/Price Quote,005a3000mvJbWxwAAF,462077.0000000000000000000000,
TXN000090,Prime Groceries Order 33,P0005,S001,3,115098,3023,2026-03-11 06:53:40,2026-03-11,Cash,Store,Prime Groceries Order 33,Proposal/Price Quote,005a3000mvJbWxwAAF,428830.0000000000000000000000,
TXN000091,Royal Electronics Order 72,P0014,S001,4,88131,9764,2026-04-01 02:41:14,2026-04-01,UPI,Store,Royal Electronics Order 72,Proposal/Price Quote,005a3000mvJbWxwAAF,427059.0000000000000000000000,
TXN000092,Global Mobile Order 69,P0003,S002,5,34312,388,2026-03-18 03:57:31,2026-03-18,Card,Store,Global Mobile Order 69,Negotiation/Review,005a3000mvJbWxwAAF,252452.0000000000000000000000,
TXN000093,Royal Groceries Order 100,P0006,S005,5,14892,329,2026-02-13 08:03:04,2026-02-13,Cash,Online,Royal Groceries Order 100,Proposal/Price Quote,005a3000mvJbWxwAAF,480148.0000000000000000000000,
TXN000094,Smart Electronics Order 66,P0020,S004,4,86603,4211,2026-02-21 09:15:49,2026-02-21,Cash,Store,Smart Electronics Order 66,Negotiation/Review,005a3000mvJbWxwAAF,484632.0000000000000000000000,
TXN000095,Value Groceries Order 45,P0011,S005,4,58528,927,2026-02-15 04:51:21,2026-02-15,Cash,Online,Value Groceries Order 45,Closed Won,005a3000mvJbWxwAAF,92975.0000000000000000000000,
TXN000096,Mega Fashion Order 40,P0019,S005,1,95161,5023,2026-02-24 07:33:33,2026-02-24,Cash,Store,Mega Fashion Order 40,Proposal/Price Quote,005a3000mvJbWxwAAF,240917.0000000000000000000000,
TXN000097,Mega Groceries Order 10,P0013,S004,2,56574,4425,2026-02-14 17:20:06,2026-02-14,Card,Store,Mega Groceries Order 10,Prospecting,005a3000mvJbWxwAAF,174421.0000000000000000000000,
TXN000098,Modern Lifestyle Order 18,P0011,S005,2,110801,15865,2026-01-07 21:56:08,2026-01-07,Net Banking,Store,Modern Lifestyle Order 18,Closed Lost,005a3000mvJbWxwAAF,445548.0000000000000000000000,
TXN000099,Royal Lifestyle Order 32,P0011,S003,5,61283,166,2026-01-06 05:00:07,2026-01-06,Net Banking,Online,Royal Lifestyle Order 32,Qualification,005a3000mvJbWxwAAF,340907.0000000000000000000000,
TXN000100,Prime Groceries Order 33,P0015,S003,5,96868,13839,2026-01-31 12:52:32,2026-01-31,UPI,Online,Prime Groceries Order 33,Proposal/Price Quote,005a3000mvJbWxwAAF,428830.0000000000000000000000,
TXN000101,Quick Furniture Order 60,P0012,S003,4,59932,6520,2026-03-22 22:19:17,2026-03-22,Card,Store,Quick Furniture Order 60,Closed Lost,005a3000mvJbWxwAAF,122916.0000000000000000000000,
TXN000102,Value Accessories Order 12,P0006,S005,4,70490,2712,2026-02-07 17:28:23,2026-02-07,Net Banking,Online,Value Accessories Order 12,Prospecting,005a3000mvJbWxwAAF,416370.0000000000000000000000,
TXN000103,Elite Mobile Order 14,P0003,S001,2,18886,2717,2026-02-13 09:31:39,2026-02-13,Card,Online,Elite Mobile Order 14,Negotiation/Review,005a3000mvJbWxwAAF,199191.0000000000000000000000,
TXN000104,Royal Electronics Order 72,P0015,S005,5,47306,706,2026-02-18 16:40:16,2026-02-18,Net Banking,Online,Royal Electronics Order 72,Proposal/Price Quote,005a3000mvJbWxwAAF,427059.0000000000000000000000,
TXN000105,Value Lifestyle Order 68,P0002,S001,4,5659,606,2026-01-20 18:10:51,2026-01-20,Card,Store,Value Lifestyle Order 68,Negotiation/Review,005a3000mvJbWxwAAF,173035.0000000000000000000000,
TXN000106,Smart Fashion Order 79,P0011,S001,4,25618,2828,2026-03-22 21:35:32,2026-03-22,UPI,Store,Smart Fashion Order 79,Negotiation/Review,005a3000mvJbWxwAAF,228240.0000000000000000000000,
TXN000107,Smart Mobile Order 64,P0003,S003,5,66246,4225,2026-02-02 10:52:03,2026-02-02,Cash,Online,Smart Mobile Order 64,Needs Analysis,005a3000mvJbWxwAAF,248547.0000000000000000000000,
TXN000108,Royal Electronics Order 72,P0007,S004,5,13555,1426,2026-04-01 07:22:11,2026-04-01,Net Banking,Online,Royal Electronics Order 72,Proposal/Price Quote,005a3000mvJbWxwAAF,427059.0000000000000000000000,
TXN000109,Elite Electronics Order 52,P0018,S001,5,32796,4560,2026-03-05 21:25:07,2026-03-05,Cash,Online,Elite Electronics Order 52,Negotiation/Review,005a3000mvJbWxwAAF,39862.0000000000000000000000,
TXN000110,Quick Groceries Order 34,P0008,S003,4,95478,2548,2026-01-28 20:31:30,2026-01-28,Net Banking,Online,Quick Groceries Order 34,Prospecting,005a3000mvJbWxwAAF,-5000.0000000000000000000000,
TXN000111,Royal Mobile Order 23,P0005,S005,2,10470,882,2026-03-16 17:27:44,2026-03-16,Card,Store,Royal Mobile Order 23,Needs Analysis,005a3000mvJbWxwAAF,431163.0000000000000000000000,
TXN000112,Modern Lifestyle Order 58,P0010,S005,3,90810,1705,2026-01-14 18:45:25,2026-01-14,Net Banking,Store,Modern Lifestyle Order 58,Prospecting,005a3000mvJbWxwAAF,113652.0000000000000000000000,
TXN000113,Fresh Furniture Order 53,P0003,S002,2,34958,3668,2026-01-01 15:04:29,2026-01-01,Net Banking,Store,Fresh Furniture Order 53,Proposal/Price Quote,005a3000mvJbWxwAAF,371222.0000000000000000000000,
TXN000114,Royal Mobile Order 23,P0019,S004,4,83301,3998,2026-02-26 19:10:12,2026-02-26,UPI,Store,Royal Mobile Order 23,Needs Analysis,005a3000mvJbWxwAAF,431163.0000000000000000000000,
TXN000115,Modern Mobile Order 94,P0005,S001,2,79282,9083,2026-04-01 01:34:59,2026-04-01,Card,Online,Modern Mobile Order 94,Qualification,005a3000mvJbWxwAAF,89279.0000000000000000000000,
TXN000116,Fresh Furniture Order 53,P0009,S005,5,46408,246,2026-01-23 02:40:52,2026-01-23,Net Banking,Store,Fresh Furniture Order 53,Proposal/Price Quote,005a3000mvJbWxwAAF,371222.0000000000000000000000,
TXN000117,Modern Accessories Order 20,P0005,S005,5,102984,7985,2026-03-22 05:33:53,2026-03-22,Card,Store,Modern Accessories Order 20,Negotiation/Review,005a3000mvJbWxwAAF,434656.0000000000000000000000,
TXN000118,Global Appliances Order 51,P0012,S001,1,25354,2799,2026-02-20 07:48:21,2026-02-20,UPI,Store,Global Appliances Order 51,Proposal/Price Quote,005a3000mvJbWxwAAF,281686.0000000000000000000000,
TXN000119,Prime Groceries Order 78,P0020,S003,3,63662,8260,2026-02-10 04:47:31,2026-02-10,UPI,Store,Prime Groceries Order 78,Qualification,005a3000mvJbWxwAAF,137576.0000000000000000000000,
TXN000120,Urban Electronics Order 62,P0001,S005,1,31108,1446,2026-01-28 20:09:12,2026-01-28,Card,Online,Urban Electronics Order 62,Proposal/Price Quote,005a3000mvJbWxwAAF,127978.0000000000000000000000,
TXN000121,Fresh Electronics Order 85,P0007,S003,4,90602,7242,2026-03-24 07:12:37,2026-03-24,UPI,Store,Fresh Electronics Order 85,Closed Won,005a3000mvJbWxwAAF,-5000.0000000000000000000000,
TXN000122,Quick Fashion Order 41,P0007,S004,1,67033,3260,2026-03-09 04:02:07,2026-03-09,Cash,Online,Quick Fashion Order 41,Closed Won,005a3000mvJbWxwAAF,410099.0000000000000000000000,
TXN000123,Royal Lifestyle Order 32,P0020,S004,3,57841,6750,2026-04-01 20:36:39,2026-04-01,Cash,Online,Royal Lifestyle Order 32,Qualification,005a3000mvJbWxwAAF,340907.0000000000000000000000,
TXN000124,Modern Mobile Order 94,P0018,S003,2,14316,2081,2026-03-20 08:05:09,2026-03-20,Cash,Store,Modern Mobile Order 94,Qualification,005a3000mvJbWxwAAF,89279.0000000000000000000000,
TXN000125,Value Electronics Order 98,P0016,S002,5,93502,8676,2026-02-20 03:20:09,2026-02-20,Card,Store,Value Electronics Order 98,Qualification,005a3000mvJbWxwAAF,324652.0000000000000000000000,
TXN000126,Value Lifestyle Order 61,P0018,S002,5,21379,2254,2026-01-27 10:30:13,2026-01-27,Cash,Store,Value Lifestyle Order 61,Closed Won,005a3000mvJbWxwAAF,169990.0000000000000000000000,
TXN000127,Urban Lifestyle Order 46,P0009,S004,4,88974,1482,2026-02-18 04:16:37,2026-02-18,Cash,Online,Urban Lifestyle Order 46,Negotiation/Review,005a3000mvJbWxwAAF,249307.0000000000000000000000,
